surah;ayat;kata;huruf;cum_kata;cum_huruf
1;1;4;16;4;16
1;2;4;15;8;31
1;3;2;10;10;41
1;4;3;9;13;50
1;5;4;16;17;66
1;6;4;14;21;80
1;7;10;35;31;115
2;1;5;19;5;19
2;2;8;23;13;42
2;3;8;38;21;80
2;4;12;47;33;127
2;5;8;34;41;161
2;6;11;43;52;204
2;7;12;51;64;255
2;8;11;42;75;297
2;9;10;44;85;341
2;10;12;47;97;388
2;11;11;40;108;428
2;12;7;28;115;456
2;13;19;76;134;532
2;14;16;71;150;603
2;15;7;28;157;631
2;16;11;52;168;683
2;17;17;66;185;749
2;18;6;17;191;766
2;19;20;75;211;841
2;20;25;93;236;934
2;21;11;45;247;979
2;22;25;91;272;1070
2;23;20;73;292;1143
2;24;13;59;305;1202
2;25;35;137;340;1339
2;26;40;136;380;1475
2;27;20;71;400;1546
2;28;14;50;414;1596
2;29;20;60;434;1656
2;30;28;101;462;1757
2;31;15;68;477;1825
2;32;12;44;489;1869
2;33;23;96;512;1965
2;34;13;59;525;2024
2;35;18;75;543;2099
2;36;19;79;562;2178
2;37;11;40;573;2218
2;38;17;60;590;2278
2;39;10;48;600;2326
2;40;14;56;614;2382
2;41;18;75;632;2457
2;42;8;39;640;2496
2;43;8;35;648;2531
2;44;11;52;659;2583
2;45;8;40;667;2623
2;46;9;34;676;2657
2;47;12;46;688;2703
2;48;19;62;707;2765
2;49;19;77;726;2842
2;50;10;49;736;2891
2;51;13;48;749;2939
2;52;9;30;758;2969
2;53;7;35;765;3004
2;54;27;112;792;3116
2;55;14;57;806;3173
2;56;7;30;813;3203
2;57;18;84;831;3287
2;58;20;86;851;3373
2;59;18;67;869;3440
2;60;29;107;898;3547
2;61;62;233;960;3780
2;62;24;98;984;3878
2;63;15;66;999;3944
2;64;14;49;1013;3993
2;65;12;48;1025;4041
2;66;9;41;1034;4082
2;67;20;78;1054;4160
2;68;24;73;1078;4233
2;69;18;65;1096;4298
2;70;17;55;1113;4353
2;71;24;88;1137;4441
2;72;13;40;1150;4481
2;73;12;49;1162;4530
2;74;38;129;1200;4659
2;75;20;71;1220;4730
2;76;23;98;1243;4828
2;77;9;31;1252;4859
2;78;11;40;1263;4899
2;79;24;88;1287;4987
2;80;23;85;1310;5072
2;81;13;51;1323;5123
2;82;10;49;1333;5172
2;83;31;132;1364;5304
2;84;15;69;1379;5373
2;85;51;210;1430;5583
2;86;13;54;1443;5637
2;87;28;125;1471;5762
2;88;10;43;1481;5805
2;89;26;101;1507;5906
2;90;27;97;1534;6003
2;91;30;112;1564;6115
2;92;12;47;1576;6162
2;93;27;122;1603;6284
2;94;17;62;1620;6346
2;95;9;37;1629;6383
2;96;25;91;1654;6474
2;97;18;66;1672;6540
2;98;12;51;1684;6591
2;99;10;40;1694;6631
2;100;10;42;1704;6673
2;101;22;82;1726;6755
2;102;74;282;1800;7037
2;103;12;46;1812;7083
2;104;13;57;1825;7140
2;105;25;82;1850;7222
2;106;20;57;1870;7279
2;107;18;52;1888;7331
2;108;18;66;1906;7397
2;109;33;109;1939;7506
2;110;17;70;1956;7576
2;111;18;68;1974;7644
2;112;17;56;1991;7700
2;113;32;117;2023;7817
2;114;30;101;2053;7918
2;115;13;45;2066;7963
2;116;15;50;2081;8013
2;117;12;41;2093;8054
2;118;25;92;2118;8146
2;119;10;41;2128;8187
2;120;31;100;2159;8287
2;121;15;65;2174;8352
2;122;12;46;2186;8398
2;123;18;61;2204;8459
2;124;21;74;2225;8533
2;125;24;102;2249;8635
2;126;32;113;2281;8748
2;127;15;55;2296;8803
2;128;17;69;2313;8872
2;129;16;69;2329;8941
2;130;19;64;2348;9005
2;131;9;31;2357;9036
2;132;17;61;2374;9097
2;133;29;111;2403;9208
2;134;15;53;2418;9261
2;135;16;59;2434;9320
2;136;32;124;2466;9444
2;137;19;72;2485;9516
2;138;10;35;2495;9551
2;139;14;61;2509;9612
2;140;31;120;2540;9732
2;141;15;53;2555;9785
2;142;23;76;2578;9861
2;143;46;172;2624;10033
2;144;34;133;2658;10166
2;145;32;122;2690;10288
2;146;14;64;2704;10352
2;147;7;24;2711;10376
2;148;20;63;2731;10439
2;149;17;62;2748;10501
2;150;31;126;2779;10627
2;151;17;79;2796;10706
2;152;6;28;2802;10734
2;153;10;43;2812;10777
2;154;14;45;2826;10822
2;155;14;56;2840;10878
2;156;11;40;2851;10918
2;157;10;41;2861;10959
2;158;25;78;2886;11037
2;159;20;79;2906;11116
2;160;11;51;2917;11167
