surah,ayat,kata,huruf,cum_kata,cum_huruf,cum_kata_sync,cum_huruf_sync
1,1,4,16,4,16,4,20
1,2,4,15,8,31,7,39
1,3,2,10,10,41,9,51
1,4,3,9,13,50,12,62
1,5,4,16,17,66,16,82
1,6,4,14,21,80,20,99
1,7,10,35,31,115,29,143
2,1,5,19,5,19,5,21
2,2,8,23,13,42,13,47
2,3,8,38,21,80,21,89
2,4,12,47,33,127,32,141
2,5,8,34,41,161,40,179
2,6,11,43,52,204,51,227
2,7,12,51,64,255,63,284
2,8,11,42,75,297,74,331
2,9,10,44,85,341,83,380
2,10,12,47,97,388,95,432
2,11,11,40,108,428,106,476
2,12,7,28,115,456,113,508
2,13,19,76,134,532,131,592
2,14,16,71,150,603,147,671
2,15,7,28,157,631,154,702
2,16,11,52,168,683,165,760
2,17,17,66,185,749,181,834
2,18,6,17,191,766,187,853
2,19,20,75,211,841,207,936
2,20,25,93,236,934,231,1040
2,21,11,45,247,979,242,1090
2,22,25,91,272,1070,267,1191
2,23,20,73,292,1143,286,1272
2,24,13,59,305,1202,299,1338
2,25,35,137,340,1339,333,1491
2,26,40,136,380,1475,373,1642
2,27,20,71,400,1546,392,1721
2,28,14,50,414,1596,406,1777
2,29,20,60,434,1656,426,1844
2,30,28,101,462,1757,453,1956
2,31,15,68,477,1825,468,2032
2,32,12,44,489,1869,479,2081
2,33,23,96,512,1965,502,2188
2,34,13,59,525,2024,515,2253
2,35,18,75,543,2099,532,2337
2,36,19,79,562,2178,551,2425
2,37,11,40,573,2218,562,2469
2,38,17,60,590,2278,579,2536
2,39,10,48,600,2326,588,2589
2,40,14,56,614,2382,602,2652
2,41,18,75,632,2457,620,2735
2,42,8,39,640,2496,628,2779
2,43,8,35,648,2531,635,2818
2,44,11,52,659,2583,646,2876
2,45,8,40,667,2623,654,2920
2,46,9,34,676,2657,663,2958
2,47,12,46,688,2703,675,3009
2,48,19,62,707,2765,693,3078
2,49,19,77,726,2842,712,3164
2,50,10,49,736,2891,722,3219
2,51,13,48,749,2939,734,3272
2,52,9,30,758,2969,743,3305
2,53,7,35,765,3004,750,3344
2,54,27,112,792,3116,777,3469
2,55,14,57,806,3173,790,3532
2,56,7,30,813,3203,797,3566
2,57,18,84,831,3287,815,3659
2,58,20,86,851,3373,834,3755
2,59,18,67,869,3440,852,3830
2,60,29,107,898,3547,881,3949
2,61,62,233,960,3780,941,4208
2,62,24,98,984,3878,965,4317
2,63,15,66,999,3944,980,4391
2,64,14,49,1013,3993,993,4445
2,65,12,48,1025,4041,1005,4499
2,66,9,41,1034,4082,1014,4544
2,67,20,78,1054,4160,1033,4631
2,68,24,73,1078,4233,1057,4713
2,69,18,65,1096,4298,1075,4785
2,70,17,55,1113,4353,1091,4846
2,71,24,88,1137,4441,1115,4944
2,72,13,40,1150,4481,1128,4989
2,73,12,49,1162,4530,1139,5043
2,74,38,129,1200,4659,1177,5187
2,75,20,71,1220,4730,1196,5266
2,76,23,98,1243,4828,1219,5375
2,77,9,31,1252,4859,1228,5409
2,78,11,40,1263,4899,1238,5454
2,79,24,88,1287,4987,1262,5552
2,80,23,85,1310,5072,1284,5647
2,81,13,51,1323,5123,1297,5703
2,82,10,49,1333,5172,1307,5758
2,83,31,132,1364,5304,1337,5905
2,84,15,69,1379,5373,1352,5982
2,85,51,210,1430,5583,1402,6215
2,86,13,54,1443,5637,1415,6276
2,87,28,125,1471,5762,1442,6415
2,88,10,43,1481,5805,1452,6463
2,89,26,101,1507,5906,1478,6575
2,90,27,97,1534,6003,1504,6683
