nomor_surah;jumlah_ayat;jumlah_kata;jumlah_huruf;
1;7;29;143;
2;286;6140;26249;
3;200;3501;14985;
4;176;3763;16332;
5;120;2837;12206;
6;165;3056;12726;
7;206;3341;14435;
8;75;1242;5387;
9;129;2505;11115;
10;109;1839;7589;
11;123;1946;7817;
12;111;1795;7307;
13;43;853;3545;
14;52;830;3539;
15;99;657;2882;
16;128;1844;7832;
17;111;1558;6643;
18;110;1583;6552;
19;98;971;3935;
20;135;1353;5399;
21;112;1174;5094;
22;78;1279;5314;
23;118;1052;4483;
24;64;1319;5754;
25;77;896;3878;
26;227;1320;5630;
27;93;1159;4790;
28;88;1438;5930;
29;69;978;4317;
30;60;817;3472;
31;34;550;2171;
32;30;372;1563;
33;73;1303;5788;
34;54;884;3594;
35;45;778;3238;
36;83;730;3068;
37;182;865;3899;
38;88;735;3065;
39;75;1177;4869;
40;85;1226;5108;
41;54;794;3365;
42;53;860;3522;
43;89;836;3609;
44;59;346;1474;
45;37;488;2085;
46;35;645;2667;
47;38;542;2423;
48;29;560;2510;
49;18;353;1533;
50;45;373;1507;
51;60;360;1546;
52;49;312;1324;
53;62;360;1433;
54;55;342;1469;
55;78;352;1647;
56;96;379;1756;
57;29;575;2545;
58;22;475;2046;
59;24;447;1970;
60;13;352;1560;
61;14;226;966;
62;11;177;768;
63;11;181;801;
64;18;242;1091;
65;12;289;1203;
66;12;254;1105;
67;30;333;1347;
68;52;301;1289;
69;52;260;1133;
70;44;217;971;
71;28;227;965;
72;28;286;1109;
73;20;200;854;
74;56;256;1035;
75;40;164;676;
76;31;243;1087;
77;50;181;841;
78;40;174;796;
79;46;179;785;
80;42;133;552;
81;29;104;435;
82;19;81;333;
83;36;169;750;
84;25;108;445;
85;22;109;469;
86;17;61;254;
87;19;72;296;
88;26;92;382;
89;30;139;584;
90;20;82;342;
91;15;54;253;
92;21;71;314;
93;11;40;165;
94;8;27;102;
95;8;34;162;
96;19;72;288;
97;5;30;115;
98;8;94;404;
99;8;36;158;
100;11;40;169;
101;11;36;160;
102;8;28;123;
103;3;14;73;
104;9;33;134;
105;5;23;97;
106;4;17;77;
107;7;25;114;
108;3;10;43;
109;6;27;99;
110;3;19;80;
111;5;23;81;
112;4;15;47;
113;5;23;73;
114;6;20;80;
